lag,emotion,corr,p_value,corr_sq
1,Anger,0.10774319483936262,0.04427829618406069,0.011608596034192856
2,Anger,0.1294036307097901,0.015564719742751617,0.016745299640875733
0,Disgust,-0.12858032147194629,0.016396190236300952,0.016532899069829052
1,Disgust,-0.12960420823938698,0.015403659843558563,0.016797250793358386
2,Disgust,-0.11380213996400212,0.033563159920991424,0.012950927060386329
3,Disgust,-0.13894983309127087,0.009346741051312163,0.019307056116092035
4,Disgust,-0.12958159441672754,0.01542174495730484,0.016791389611581272
5,Disgust,-0.11498413171911813,0.03175334310616631,0.013221350547199508
6,Disgust,-0.13411911971414012,0.012144981864666508,0.017987938272895847
7,Disgust,-0.15763361049234403,0.0031495082279997403,0.024848355156852034
8,Disgust,-0.14564696293310594,0.006416580068515596,0.021213037811637536
9,Disgust,-0.13355416089334537,0.012516299308375592,0.017836713891925583
10,Disgust,-0.14945307413194542,0.005146363581043928,0.022336221367488772
11,Disgust,-0.14079503900435106,0.008439419618169025,0.019823243008236735
12,Disgust,-0.13071582133481996,0.01453726812242433,0.01708662594723657
13,Disgust,-0.14782437646670887,0.005659270817145432,0.02185204627777127
14,Disgust,-0.16759920044707,0.001677796393533926,0.028089491990497147
0,Fear,0.15487636310316416,0.003776135686234154,0.02398668784806315
1,Fear,0.18104339184189422,0.0006784105136153505,0.03277670972961765
2,Fear,0.22999544549775658,1.4276257406483542e-05,0.05289790494971152
3,Fear,0.2303131069482406,1.3881405051802666e-05,0.053044127232151704
4,Fear,0.2322262630668991,1.1714064959632625e-05,0.05392903725801663
5,Fear,0.22452581051325476,2.299637380244217e-05,0.050411839586633984
6,Fear,0.17597624919109264,0.0009616438652244384,0.030967640279365535
7,Fear,0.14505433854026817,0.006637836293551263,0.021040761129354726
8,Fear,0.15641295388662751,0.003393940218556577,0.024465012143540264
9,Fear,0.1840799806569859,0.0005479694947447673,0.0338854392786763
10,Fear,0.18489752579003182,0.0005170589875758494,0.03418709504327548
11,Fear,0.19085729075267321,0.00033613324444971976,0.03642650543345044
12,Fear,0.1815703426193404,0.0006538888631121084,0.032967789318904664
13,Fear,0.1441747541914728,0.006978828181688913,0.020786359746171604
14,Fear,0.11196687493192124,0.03654705541797004,0.012536581082020494
0,Joy,-0.22599037746081552,2.0829240710617735e-05,0.05107165070488187
1,Joy,-0.23479429577495614,9.305929010495073e-06,0.05512836132845759
2,Joy,-0.2630073854531085,6.235747416018362e-07,0.06917288480287997
3,Joy,-0.27316146863460516,2.1754504239949703e-07,0.07461718794661439
4,Joy,-0.25378262042285415,1.5638471306406523e-06,0.06440561842869047
5,Joy,-0.2594956289660323,8.885865663031288e-07,0.0673379814524767
6,Joy,-0.26389366658097424,5.697946834030078e-07,0.0696398672615504
7,Joy,-0.2554305620946038,1.3303892485160677e-06,0.06524477205196524
8,Joy,-0.2621025739686927,6.834882410610962e-07,0.06869775928101401
9,Joy,-0.2812003564436847,9.162537430908977e-08,0.07907364046405532
10,Joy,-0.287979675017215,4.324418351888297e-08,0.08293229322302076
11,Joy,-0.2745479441093026,1.8777411954001726e-07,0.07537657361464475
12,Joy,-0.2802440272706257,1.0169991580435047e-07,0.0785367148208592
13,Joy,-0.2807021660222735,9.674715814775141e-08,0.078793706009596
14,Joy,-0.2722456193676274,2.3964778477969257e-07,0.07411767726486307
0,Negative,0.10953158788789268,0.04114343982838309,0.011997168745243158
1,Negative,0.1274041636361029,0.017252640459706307,0.016231820911814885
2,Negative,0.18217323091390952,0.0006268412936498538,0.0331870860616126
3,Negative,0.17058288048650164,0.0013800336419959116,0.0290985191150721
4,Negative,0.17393700649003735,0.0011037245947140865,0.030254082226715294
5,Negative,0.17860355775967668,0.0008034385306176499,0.031899230844414164
6,Negative,0.1409156135305446,0.00838295723680803,0.019857210136689805
9,Negative,0.12410763064107318,0.020385440948880243,0.015402703983341046
10,Negative,0.11752166306603101,0.028147698680639,0.013811341289805717
11,Negative,0.1262430251591662,0.018304498731064555,0.015937301401337867
12,Negative,0.13248316733503723,0.013247761063289655,0.017551789627123476
13,Negative,0.10509138682187873,0.04980198398734855,0.011044199584145745
0,Positive,-0.2924045770346783,2.7440623299250374e-08,0.08550043667082913
1,Positive,-0.3208795092279232,8.461017214874435e-10,0.10296365944235285
2,Positive,-0.3768910858412867,3.1912106944509366e-13,0.14204689058662415
3,Positive,-0.39597965049919326,1.5007401816002957e-14,0.15679988360946323
4,Positive,-0.4006750823705655,6.860308152486441e-15,0.16054052163265944
5,Positive,-0.396634726358354,1.3464770329938172e-14,0.15731910615336636
6,Positive,-0.3639016018573982,2.285592101949225e-12,0.13242437583438038
7,Positive,-0.31909651733839883,1.0604967650505606e-09,0.10182258737749507
8,Positive,-0.31661671053570006,1.448310431352751e-09,0.10024614139044728
9,Positive,-0.3426547388284875,4.750060352080697e-11,0.11741227004161899
10,Positive,-0.35567445048919377,7.602320275143599e-12,0.12650431473078996
11,Positive,-0.3759015729910967,3.719179688237795e-13,0.14130199257718082
12,Positive,-0.37126829818833407,7.564721000343819e-13,0.13784014923966173
13,Positive,-0.3384908993970375,8.385312263036404e-11,0.11457608897461538
14,Positive,-0.3005692912078002,1.016590489861062e-08,0.09034189881715939
1,Sadness,0.11573397772831104,0.030648944110116677,0.013394353600817196
2,Sadness,0.1628574095873062,0.0022738848712406307,0.02652253585748762
3,Sadness,0.15421641337875483,0.003877489146356794,0.023782702155406992
4,Sadness,0.1586223615610942,0.0029633504468557412,0.025161053587218492
5,Sadness,0.1464652665269167,0.0061219285087744536,0.021452074298800743
13,Trust,-0.11285006806924613,0.03508413051936532,0.012735137863233485
